model_name,model_name_raw,assay_id,UniProt_id,fold_variable_name,loss_fitness,Spearman_fitness
Kermut,kermut,CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,fold_random_5,0.1260315431588741,0.939297518452382
Kermut,kermut,CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,fold_modulo_5,0.413452495587885,0.7661228173632216
Kermut,kermut,CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,fold_contiguous_5,0.4224926661375153,0.7551169927831016
Kermut,kermut,D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,fold_random_5,0.4022639778698257,0.790090158322546
Kermut,kermut,D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,fold_modulo_5,0.5563904856850005,0.7008326224166875
Kermut,kermut,D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,fold_contiguous_5,0.6222816230610361,0.6840569054321698
Kermut,kermut,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,fold_random_5,0.31166799904581655,0.8154825033868488
Kermut,kermut,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,fold_modulo_5,0.5632256288312052,0.6601417469236435
Kermut,kermut,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,fold_contiguous_5,0.6206371977984867,0.6230562362394366
Kermut,kermut,DLG4_RAT_McLaughlin_2012,DLG4_RAT,fold_random_5,0.3487912250728811,0.761318279927013
Kermut,kermut,DLG4_RAT_McLaughlin_2012,DLG4_RAT,fold_modulo_5,0.6208985627511625,0.6336150064183226
Kermut,kermut,DLG4_RAT_McLaughlin_2012,DLG4_RAT,fold_contiguous_5,0.697001643254931,0.5593849994627609
Kermut,kermut,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,fold_random_5,0.12602605383803017,0.9154665864129252
Kermut,kermut,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,fold_modulo_5,0.35576652386333024,0.7518876196418828
Kermut,kermut,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,fold_contiguous_5,0.3378247160715681,0.7830679485894269
Kermut,kermut,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,fold_random_5,0.10759104101855452,0.9187023107604266
Kermut,kermut,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,fold_modulo_5,0.2295572025867671,0.8196268250099285
Kermut,kermut,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,fold_contiguous_5,0.25647739331808916,0.8345417216618334
Kermut,kermut,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,fold_random_5,0.19795905571899633,0.9025555098204727
Kermut,kermut,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,fold_modulo_5,0.463864857241103,0.7569423380294488
Kermut,kermut,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,fold_contiguous_5,0.4661207287743534,0.7644698973122662
Kermut,kermut,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,fold_random_5,0.3199741983038883,0.6911665784116888
Kermut,kermut,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,fold_modulo_5,0.5028845543640593,0.553710144928801
Kermut,kermut,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,fold_contiguous_5,0.5488602075263082,0.5256655116460038
Kermut,kermut,DYR_ECOLI_Thompson_2019,DYR_ECOLI,fold_random_5,0.3956146005857834,0.7515356477568664
Kermut,kermut,DYR_ECOLI_Thompson_2019,DYR_ECOLI,fold_modulo_5,0.6429389879846445,0.5456106395882917
