model_name,model_name_raw,assay_id,UniProt_id,fold_variable_name,loss_fitness,Spearman_fitness,model_type,model_name_suffix,targets,depth_mutants_group,total_training_steps,total_training_epochs,aa_embeddings,target_prediction_model,target_prediction_head,use_pseudo_likelihood_to_predict_fitness,use_unsupervised_fitness_pred_to_predict_fitness,use_NPT_pseudo_likelihood_to_predict_target,frozen_embedding_parameters,dropout,weight_decay,PNPT_no_reconstruction_error,PNPT_fixed_helper_points,PNPT_ensemble_test_num_seeds,PNPT_deactivate_col_attention,PNPT_tranception_attention,early_stopping_patience,use_validation_set,training_num_assay_sequences_per_batch_per_gpu,eval_num_sequences_to_score_per_batch_per_gpu,eval_num_training_sequences_per_batch_per_gpu,eval_training_sequences_sampling_method,num_MSA_sequences_per_training_instance,embed_dim,ffn_embed_dim,attention_heads,conv_kernel_size,num_protein_npt_layers,total_loss,Std_dev_Spearman_fitness,num_obs_Spearman_fitness,standardized_loss_fitness,standardized_Spearman_fitness
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,fold_modulo_5,0.6602107708,0.6101799787,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Medium,10000.0,1666.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.04913734806,0.04916094572,,0.7752442107,0.6079851834
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,REV_HV1H2_Fernandes_2016,REV_HV1H2,fold_modulo_5,0.9778287685,0.2956030091,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Medium,10000.0,1999.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.06266686727,0.05066800286,,1.227525136,0.3091932042
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,REV_HV1H2_Fernandes_2016,REV_HV1H2,fold_random_5,0.7049662856,0.5298204419,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Medium,10000.0,2499.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.0410070504,0.02916739893,,0.8149826235,0.5255715971
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,REV_HV1H2_Fernandes_2016,REV_HV1H2,fold_contiguous_5,1.149490714,0.1821383613,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Medium,10000.0,1999.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.03152614231,0.1092170977,,1.785909987,0.1387366478
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Mavor_2016,RL40A_YEAST,fold_random_5,0.479997035,0.7297312918,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.03437671152,0.036215696,,0.5199184405,0.7221698666
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Mavor_2016,RL40A_YEAST,fold_contiguous_5,1.116208925,0.4925094575,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.1329277704,0.09117460604,,1.491552135,0.2784156037
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Mavor_2016,RL40A_YEAST,fold_modulo_5,0.8257035987,0.511487477,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.0542237483,0.06389113199,,1.028488344,0.5146465237
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Roscoe_2013,RL40A_YEAST,fold_modulo_5,0.6221578348,0.6678610233,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.0451160022,0.02133137724,,0.7187769728,0.6587616227
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Roscoe_2013,RL40A_YEAST,fold_contiguous_5,1.01620425,0.4798686622,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.1398499603,0.2142867329,,1.452463297,0.3212261332
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Roscoe_2013,RL40A_YEAST,fold_random_5,0.3101662701,0.8869470286,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.01942811078,0.01076977332,,0.3342631824,0.8820123393
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,fold_random_5,0.310681038,0.792290714,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.01820548865,0.01151002624,,0.3253551865,0.7894048692
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,fold_contiguous_5,0.977581259,0.5144429412,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.07705270348,0.1270988111,,1.164943592,0.3896156174
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,fold_modulo_5,0.9620544803,0.4360200275,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,Low,10000.0,3333.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.1233148025,0.1752452847,,1.161266873,0.3960518595
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,fold_random_5,0.5700014112,0.6747818639,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,High,10000.0,454.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.0393563714,0.008070993185,,0.6868465627,0.6754803765
ProteinNPT,MSA_Transformer_ProteinNPT_FALSE,SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,fold_modulo_5,0.5981824113,0.6556620337,ProteinNPT,All_singles_final_10k_steps,fitness_unsupervised_prediction,High,10000.0,454.0,MSA_Transformer,CNN,Target_embeddings_only,False,False,False,True,0.0,0.005,False,False,-1.0,False,False,5.0,False,425.0,15.0,1000.0,random,,200.0,400.0,4.0,7.0,5.0,0.03676650576,0.008477420012,,0.7294911551,0.6562083661
